,File,Subject,Time,Date,Message,SessionNum,PhaseNum,Trial,TrialStart,TrialTime,RawTrialTime,LRSoffset,Closest Ticks,Angle
0,REX_20251026084543.txt,Rex,18.5679996120743,2025-10-26,Hit,1,2,0,18.1799995936453,0.38800001842900045,0.38800001842900045,0.0,0.36800001747910116,0.1689028308377417
1,REX_20251026084543.txt,Rex,18.9039996280335,2025-10-26,Miss,1,2,0,18.1799995936453,0.7240000343882009,0.7240000343882009,0.0,0.36800001747910116,3.0064703889193387
2,REX_20251026084543.txt,Rex,19.2399996439926,2025-10-26,Hit,1,2,0,18.1799995936453,1.060000050347302,1.060000050347302,0.0,1.1120000528172014,-0.4391473601794905
3,REX_20251026084543.txt,Rex,19.6719996645115,2025-10-26,Miss,1,2,0,18.1799995936453,1.492000070866201,1.492000070866201,0.0,1.860000088345302,-3.09119277144694
4,REX_20251026084543.txt,Rex,20.5839997078292,2025-10-26,Safe,1,2,0,18.1799995936453,2.4040001141839014,2.4040001141839014,0.0,2.6040001236834023,-1.6890283083817073
5,REX_20251026084543.txt,Rex,22.1559997824952,2025-10-26,Hit,1,2,0,18.1799995936453,3.976000188849902,3.976000188849902,0.0,4.092000194359603,-0.9796364188613079
6,REX_20251026084543.txt,Rex,23.3799998406321,2025-10-26,Miss,1,2,0,18.1799995936453,5.2000002469868,5.2000002469868,0.0,4.836000229697703,3.057592850018068
7,REX_20251026084543.txt,Rex,24.1479998771101,2025-10-26,Miss,1,2,0,18.1799995936453,5.9680002834648,5.9680002834648,0.0,6.3280003005639,-3.0402509550870613
8,REX_20251026084543.txt,Rex,25.0119999181479,2025-10-26,Safe,1,2,0,18.1799995936453,6.8320003245026015,6.8320003245026015,0.0,7.0720003359020005,-2.0268339700580307
9,REX_20251026084543.txt,Rex,25.6719999494962,2025-10-26,Miss,1,2,0,18.1799995936453,7.492000355850902,7.492000355850902,0.0,7.816000371240101,-2.73622585957843
10,REX_20251026084543.txt,Rex,26.3919999836944,2025-10-26,Miss,1,2,0,18.1799995936453,8.212000390049102,8.212000390049102,0.0,8.560000406578201,-2.938909256583894
11,REX_20251026084543.txt,Rex,27.3760000304319,2025-10-26,Hit,1,2,0,18.1799995936453,9.196000436786601,9.196000436786601,0.0,9.308000442106302,-0.9407978000053713
12,REX_20251026084543.txt,Rex,28.1800000686198,2025-10-26,Hit,1,2,0,18.1799995936453,10.000000474974502,10.000000474974502,0.0,10.03257062138616,-0.2824353958229538
13,REX_20251026084543.txt,Rex,38.8879998759367,2025-10-26,Miss,1,2,1,38.2199998442084,0.6680000317282975,0.6680000317282975,0.0,0.3160000150091946,2.972689822751632
14,REX_20251026084543.txt,Rex,39.4759999038652,2025-10-26,Safe,1,2,1,38.2199998442084,1.2560000596567988,1.2560000596567988,0.0,1.0600000503472984,1.6552477422139928
15,REX_20251026084543.txt,Rex,40.0639999317937,2025-10-26,Hit,1,2,1,38.2199998442084,1.8440000875853002,1.8440000875853002,0.0,1.804000085685395,0.344959801137506
16,REX_20251026084543.txt,Rex,40.6279999585822,2025-10-26,Hit,1,2,1,38.2199998442084,2.408000114373799,2.408000114373799,0.0,2.532570265155254,-1.0742923100046604
17,REX_20251026084543.txt,Rex,50.5359997809865,2025-10-26,Miss,1,2,2,49.9079997511581,0.6280000298283994,0.6280000298283994,0.0,0.9160000435076014,-2.432200764068977
18,REX_20251026084543.txt,Rex,51.0519998054951,2025-10-26,Safe,1,2,2,49.9079997511581,1.144000054336999,1.144000054336999,0.0,0.9160000435076014,1.9254922715548728
19,REX_20251026084543.txt,Rex,51.483999826014,2025-10-26,Hit,1,2,2,49.9079997511581,1.576000074855898,1.576000074855898,0.0,1.6600000788456981,-0.7093918895204027
20,REX_20251026084543.txt,Rex,51.7479998385534,2025-10-26,Miss (already hit),1,2,2,49.9079997511581,1.8400000873952962,1.8400000873952962,0.0,1.6600000788456981,1.5201254775439283
21,REX_20251026084543.txt,Rex,53.0319998995401,2025-10-26,Hit,1,2,2,49.9079997511581,3.1240001483819952,3.1240001483819952,0.0,3.1480001495218985,-0.20268339700549504
