40.6279999585822	Trial	Trial 2 ended	
49.9079997511581	Trial	Trial 3 started	2025-10-26 08:46:22.496
49.9079997511581	Trial Param	Level	1
49.9079997511581	Trial Param	Wheel Tempo	0.0373
49.9079997511581	Trial Param	Event List	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
49.9079997511581	Trial Param	Max Beats	20
49.9079997511581	Trial Param	Target Score	2
49.9079997511581	Trial Param	Safe Zone Size	6
49.9079997511581	Trial Param	Beat Zone Size	4
49.911999751348	Beat	Beat safe window start	
49.911999751348	Beat	Beat zone start	
50.0799997593276	Beat	Beat tick	
50.2559997676872	Beat	Beat zone end	
50.327999771107	Beat	Beat safe window end	
50.5359997809865	Response	Miss	
50.5839997832663	Beat	Beat safe window start	
50.6559997866862	Beat	Beat zone start	
50.8239997946657	Beat	Beat tick	
50.9999998030253	Beat	Beat zone end	
51.0519998054951	Response	Safe	
51.0719998064451	Beat	Beat safe window end	
51.3279998186044	Beat	Beat safe window start	
51.4039998222142	Beat	Beat zone start	
51.483999826014	Response	Hit	
51.5679998300038	Beat	Beat tick	
51.7439998383634	Beat	Beat zone end	
51.7479998385534	Response	Miss (already hit)	
51.8199998419732	Beat	Beat safe window end	
52.0719998539425	Beat	Beat safe window start	
52.1479998575523	Beat	Beat zone start	
52.3119998653419	Beat	Beat tick	
52.4879998737015	Beat	Beat zone end	
52.5639998773113	Beat	Beat safe window end	
52.8159998892806	Beat	Beat safe window start	
52.8919998928905	Beat	Beat zone start	
53.0319998995401	Response	Hit	
53.05599990068	Beat	Beat tick	
53.2319999090396	Beat	Beat zone end	
53.3079999126494	Beat	Beat safe window end	
53.5479999240488	Response	Miss	
53.5639999248087	Beat	Beat safe window start	
53.6359999282286	Beat	Beat zone start	
53.8039999362081	Beat	Beat tick	
53.9799999445677	Beat	Beat zone end	
54.0519999479875	Beat	Beat safe window end	
54.0999999502674	Response	Miss	
54.3079999601468	Beat	Beat safe window start	
54.3799999635667	Beat	Beat zone start	
54.5479999715462	Beat	Beat tick	
54.5919999736361	Response	Hit	
54.7239999799058	Beat	Beat zone end	
54.7959999833256	Beat	Beat safe window end	
55.0519999954849	Beat	Beat safe window start	
55.1279999990948	Beat	Beat zone start	
55.1680000009947	Response	Hit	
55.1680000009947	Trial	Trial 3 ended	
63.607999812346	Trial	Trial 4 started	2025-10-26 08:46:38.247
63.607999812346	Trial Param	Level	1
63.607999812346	Trial Param	Wheel Tempo	0.0373
